producto_id,titulo,ruta,media_id,file_id,ancho,alto,bytes,alt,publicado
188,"Babero bebé 5 Little Monkeys",sites/default/files/508_1.png,788,861,1200,1600,164903,508.png,si
164,"Babero bebé Bailarina",sites/default/files/507_2.png,771,844,1200,1600,72972,507.png,si
160,"Babero bebé Búho tribal",sites/default/files/504_2.png,779,852,1200,1600,108132,504.png,si
158,"Babero bebé Conejo tribal",sites/default/files/502_2.png,775,848,1200,1600,89898,502.png,si
190,"Babero bebé Lapin noir",sites/default/files/522.png,856,929,1200,1600,99639,522.png,si
189,"Babero bebé León",sites/default/files/509.png,791,864,1200,1600,120955,509.png,si
161,"Babero bebé Osito polar",sites/default/files/505_1.png,781,854,1200,1600,77315,505.png,si
157,"Babero bebé Oso tribal",sites/default/files/501.png,783,856,1200,1600,92350,501.png,si
159,"Babero bebé Zorro tribal",sites/default/files/503_2.png,777,850,1200,1600,92969,503.png,si
44,"Babero Búho",sites/default/files/134.png,104,177,1200,1600,532573,134.png,si
22,"Babero Fresa",sites/default/files/cupcake.png,65,138,1200,1600,783323,cupcake.png,si
21,"Babero Kawaii",sites/default/files/97_trans.png,40,113,1200,1600,683019,97_trans.png,si
346,"Babero microfibra impermeable Anna",sites/default/files/1098.jpg,2083,2156,1200,1600,37313,1098.jpg,si
347,"Babero microfibra impermeable Astrid",sites/default/files/1099.jpg,2086,2159,1200,1600,28776,1099.jpg,si
162,"Babero microfibra impermeable Baby Shark",sites/default/files/1000.jpg,2029,2102,1200,1600,36026,1000.jpg,si
356,"Babero microfibra impermeable Ballet",sites/default/files/1111.jpg,2113,2186,1200,1600,24759,1111.jpg,si
342,"Babero microfibra impermeable Barcelona",sites/default/files/1014.jpg,2071,2144,1200,1600,71743,1014.jpg,si
351,"Babero microfibra impermeable Camaleón",sites/default/files/1092.jpg,2098,2171,1200,1600,38323,1092.jpg,si
358,"Babero microfibra impermeable Circo",sites/default/files/1108.jpg,2119,2192,1200,1600,35421,1108.jpg,si
353,"Babero microfibra impermeable Cupcakes",sites/default/files/1107.jpg,2104,2177,1200,1600,34700,1107.jpg,si
339,"Babero microfibra impermeable Dragón",sites/default/files/1007.jpg,2062,2135,1200,1600,33361,1007.jpg,si
354,"Babero microfibra impermeable Gato",sites/default/files/1100.jpg,2107,2180,1200,1600,26510,1100.jpg,si
340,"Babero microfibra impermeable Gigantosaurus",sites/default/files/1005.jpg,2065,2138,1200,1600,32494,1005.jpg,si
352,"Babero microfibra impermeable Golden",sites/default/files/1105.jpg,2101,2174,1200,1600,30842,1105.jpg,si
336,"Babero microfibra impermeable Granja",sites/default/files/996.jpg,2053,2126,1200,1600,42909,996.jpg,si
355,"Babero microfibra impermeable Hámster",sites/default/files/1097.jpg,2110,2183,1200,1600,36354,1097.jpg,si
338,"Babero microfibra impermeable Lorito",sites/default/files/1008.jpg,2059,2132,1200,1600,30949,1008.jpg,si
345,"Babero microfibra impermeable Monstruo de Colores",sites/default/files/1112.jpg,2080,2153,1200,1600,45114,1112.jpg,si
337,"Babero microfibra impermeable Patito Feo",sites/default/files/1002.jpg,2056,2129,1200,1600,31480,1002.jpg,si
332,"Babero microfibra impermeable Patrulla",sites/default/files/1009.jpg,2041,2114,1200,1600,29702,1009.jpg,si
333,"Babero microfibra impermeable Peppa",sites/default/files/990.jpg,2044,2117,1200,1600,26050,990.jpg,si
341,"Babero microfibra impermeable Pony",sites/default/files/1001.jpg,2068,2141,1200,1600,29449,1001.jpg,si
330,"Babero microfibra impermeable Princesa",sites/default/files/994.jpg,2035,2108,1200,1600,33539,994.jpg,si
343,"Babero microfibra impermeable Princesa Amira",sites/default/files/993.jpg,2074,2147,1200,1600,35034,993.jpg,si
329,"Babero microfibra impermeable Sakura",sites/default/files/995.jpg,2032,2105,1200,1600,29599,995.jpg,si
357,"Babero microfibra impermeable Spider Girl",sites/default/files/1104.jpg,2116,2189,1200,1600,28730,1104.jpg,si
328,"Babero microfibra impermeable Stegosaurus",sites/default/files/1004.jpg,2026,2099,1200,1600,31268,1004.jpg,si
349,"Babero microfibra impermeable Superhéroe",sites/default/files/1103.jpg,2092,2165,1200,1600,40089,1103.jpg,si
344,"Babero microfibra impermeable Surf",sites/default/files/999.jpg,2077,2150,1200,1600,36276,999.jpg,si
348,"Babero microfibra impermeable Teddy",sites/default/files/1096.jpg,2089,2162,1200,1600,35021,1096.jpg,si
331,"Babero microfibra impermeable Thor",sites/default/files/992.jpg,2038,2111,1200,1600,33745,992.jpg,si
334,"Babero microfibra impermeable Tres Cerditos",sites/default/files/991.jpg,2047,2120,1200,1600,42387,991.jpg,si
335,"Babero microfibra impermeable Vaca Lola",sites/default/files/989.jpg,2051,2124,1200,1600,40078,989.jpg,si
350,"Babero microfibra impermeable Zorro Tribal",sites/default/files/1110.jpg,2095,2168,1200,1600,33398,1110.jpg,si
264,"Pack 5 baberos cuello elástico azul",sites/default/files/651.jpg,1617,1690,1200,1600,114634,651.jpg,si
263,"Pack 5 baberos cuello elástico rojo",sites/default/files/649.jpg,1614,1687,1200,1600,131311,649.jpg,si
265,"Pack 5 baberos cuello elástico verde",sites/default/files/650.jpg,1620,1693,1200,1600,133647,650.jpg,si
