producto_id,titulo,ruta,media_id,file_id,ancho,alto,bytes,alt,publicado
198,"Bolsa guardería Bailarina",sites/default/files/1046.jpg,1970,2043,1200,1600,121911,1046.jpg,si
294,"Bolsa guardería impermeable Alana","sites/default/files/964 (1).jpg",1825,1898,1200,1600,205871,"964 (1).jpg",si
297,"Bolsa guardería impermeable Alicia",sites/default/files/1028.jpg,1840,1913,1200,1600,249258,1028.jpg,si
308,"Bolsa guardería impermeable Aram Sam Sam",sites/default/files/1017.jpg,1921,1994,1200,1600,181428,1017.jpg,si
313,"Bolsa guardería impermeable Arca de Noé",sites/default/files/1032.jpg,1940,2013,1200,1600,237625,1032.jpg,si
314,"Bolsa guardería impermeable Astrid",sites/default/files/1034.jpg,1945,2018,1200,1600,155240,1034.jpg,si
299,"Bolsa guardería impermeable Atelier",sites/default/files/1025.jpg,1860,1933,1200,1600,224588,1025.jpg,si
322,"Bolsa guardería impermeable Bella","sites/default/files/1027 (1).jpg",1995,2068,1200,1600,211544,"1027 (1).jpg",si
132,"Bolsa guardería impermeable Caperucita Roja",sites/default/files/936.jpg,1676,1749,1200,1600,209706,936.jpg,si
318,"Bolsa guardería impermeable Cervatillo",sites/default/files/1048.jpg,1975,2048,1200,1600,224303,1048.jpg,si
197,"Bolsa guardería impermeable Circo",sites/default/files/1036.jpg,1906,1979,1200,1600,244961,1036.jpg,si
316,"Bolsa guardería impermeable Copito de Nieve",sites/default/files/1049.jpg,1955,2028,1200,1600,225736,1049.jpg,si
321,"Bolsa guardería impermeable Disfraz Dino",sites/default/files/1040.jpg,1990,2063,1200,1600,227022,1040.jpg,si
295,"Bolsa guardería impermeable Dragon","sites/default/files/975 (1).jpg",1830,1903,1200,1600,181874,"975 (1).jpg",si
302,"Bolsa guardería impermeable El Libro de la Selva",sites/default/files/1016.jpg,1875,1948,1200,1600,211265,1016.jpg,si
324,"Bolsa guardería impermeable El Sombrerero","sites/default/files/1045 (1).jpg",2004,2077,1200,1600,252428,"1045 (1).jpg",si
319,"Bolsa guardería impermeable Hada",sites/default/files/1039.jpg,1980,2053,1200,1600,173736,1039.jpg,si
288,"Bolsa guardería impermeable Hansel y Gretel",sites/default/files/981.jpg,1789,1862,1200,1600,265584,981.jpg,si
315,"Bolsa guardería impermeable Husky",sites/default/files/1050.jpg,1950,2023,1200,1600,172689,1050.jpg,si
286,"Bolsa guardería impermeable La Granja de mi Tío",sites/default/files/956.jpg,1779,1852,1200,1600,237291,956.jpg,si
312,"Bolsa guardería impermeable Lemur",sites/default/files/1033.jpg,1935,2008,1200,1600,147902,1033.jpg,si
280,"Bolsa guardería impermeable Los Tres Cerditos",sites/default/files/937.jpg,1739,1812,1200,1600,232482,937.jpg,si
311,"Bolsa guardería impermeable Monstruos de Colores",sites/default/files/1051.jpg,1931,2004,1200,1600,274502,1051.jpg,si
32,"Bolsa guardería impermeable Oso Panda",sites/default/files/1024.jpg,1850,1923,1200,1600,181379,1024.jpg,si
317,"Bolsa guardería impermeable Oso Peluche",sites/default/files/1042.jpg,1960,2033,1200,1600,114442,1042.jpg,si
199,"Bolsa guardería impermeable Oso polar",sites/default/files/1018.jpg,1845,1918,1200,1600,139065,1018.jpg,si
284,"Bolsa guardería impermeable Patito Feo",sites/default/files/952.jpg,1754,1827,1200,1600,170188,952.jpg,si
320,"Bolsa guardería impermeable Pirata",sites/default/files/1043.jpg,1985,2058,1200,1600,215218,1043.jpg,si
287,"Bolsa guardería impermeable Princesa","sites/default/files/955 (1).jpg",1784,1857,1200,1600,164806,"955 (1).jpg",si
271,"Bolsa guardería impermeable Rapunzel",sites/default/files/932.jpg,1686,1759,1200,1600,206358,932.jpg,si
270,"Bolsa guardería impermeable Ricitos de Oro",sites/default/files/935.jpg,1681,1754,1200,1600,222650,935.jpg,si
43,"Bolsa guardería impermeable Sakura",sites/default/files/948.jpg,1691,1764,1200,1600,147864,948.jpg,si
34,"Bolsa guardería impermeable Sirena",sites/default/files/1037.jpg,1911,1984,1200,1600,227303,1037.jpg,si
289,"Bolsa guardería impermeable Stegosaurus","sites/default/files/970 (1).jpg",1795,1868,1200,1600,165850,"970 (1).jpg",si
213,"Bolsa guardería impermeable Superhéroe",sites/default/files/1047.jpg,1965,2038,1200,1600,243648,1047.jpg,si
298,"Bolsa guardería impermeable Tiburón",sites/default/files/1030.jpg,1855,1928,1200,1600,201603,1030.jpg,si
305,"Bolsa guardería impermeable Tigre",sites/default/files/1020.jpg,1890,1963,1200,1600,219059,1020.jpg,si
292,"Bolsa guardería impermeable Triceratops","sites/default/files/966 (1).jpg",1815,1888,1200,1600,207245,"966 (1).jpg",si
323,"Bolsa guardería impermeable Tyrannosaurus Rex","sites/default/files/1044 (1).jpg",2000,2073,1200,1600,254159,"1044 (1).jpg",si
192,"Bolsa guardería Zorro Tribal",sites/default/files/524.png,863,936,1200,1600,82780,524.png,si
